tracklet_id,angle,angle,mag_diff
cn00000,143.6809956583881,1.742722335579316
cn00000,143.6809956583881,1.742722335579316
cn00001,172.19176416909826,1.742722335579316
cn00002,164.56838938607459,1.803429661379571
cn00003,144.3746540312142,1.6386279046743617
cn00004,143.32915364883314,1.6467220523079362
cn00005,146.1795603432262,1.722557678663911
cn00006,173.30630839100263,0.6470694348815371
cn00007,170.54005267237108,1.4099667385105334
cn00008,159.8163545334094,1.4099667385105334
cn00009,172.617439692848,1.4099667385105334
cn00010,154.26920913336426,0.1615341654111191
cn00011,173.18358732654718,1.7989107312220796
cn00012,178.12082164986438,1.4651770729559068
cn00013,165.12830239004677,1.7989107312220796
cn00014,175.17359399765132,0.8401822792061395
cn00015,175.98643801376872,1.6907339034773408
cn00016,178.43019911474585,1.4651770729559068
cn00017,163.65821519315762,1.0125828026575618
cn00018,175.27716254731305,0.9059327229856535
cn00019,176.13005098973647,1.6907339034773408
cn00020,177.95372519323084,1.4651770729559068
cn00021,166.3388340917606,1.0125828026575618
cn00022,171.61210060092534,1.0125828026575618
cn00023,144.01368732124755,1.0402053894694028
cn00024,156.96721269102056,0.39913898189109887
cn00025,147.2969982376502,1.7376441327401757
cn00026,158.23113329210534,1.5519555447304683
cn00027,169.1122376700785,1.1378787155709986
cn00028,172.06822487801094,1.2031484148995801
cn00029,155.28715453376455,1.839253557959676
cn00030,141.3190067022992,0.9804197170833682
cn00031,149.11479915029315,0.5819339365986949
cn00032,167.97311350849347,1.9072863084665101
