filea,fileb,filec,date_corrected,time_corrected,run_time_s,num_sources,num_tracklets_prescreen
o_sources20020101020555c.csv,o_sources20020101023551c.csv,o_sources20020101030745c.csv,8/10/23,13:39:36,00:03.2,1244,1
o_sources20020101020555c.csv,o_sources20020101023551c.csv,o_sources20020101030745c.csv,8/10/23,13:41:20,00:01.1,1244,1
o_sources20020101020555c.csv,o_sources20020101023551c.csv,o_sources20020101030745c.csv,8/10/23,13:42:29,00:01.1,1244,1
o_sources20020101020555c.csv,o_sources20020101023551c.csv,o_sources20020101030745c.csv,8/10/23,13:43:19,00:01.2,1244,1
o_sources20020101020555c.csv,o_sources20020101023551c.csv,o_sources20020101030745c.csv,8/10/23,13:44:06,00:01.2,1244,1
o_sources20020101020555c.csv,o_sources20020101023551c.csv,o_sources20020101030745c.csv,8/10/23,13:46:37,00:01.1,1244,1
