filea,fileb,filec,date_corrected,time_corrected,run_time_s,num_sources,num_tracklets_prescreen
o_sources20011120055357a.csv,o_sources20011120043534a.csv,o_sources20011120050755a.csv,2023-08-22,13:05:57,0:00:00.089043,1456,33
o_sources20011120055357a.csv,o_sources20011120043534a.csv,o_sources20011120050755a.csv,2023-08-22,13:06:31,0:00:00.088251,1456,33
o_sources20011120055357a.csv,o_sources20011120043534a.csv,o_sources20011120050755a.csv,2023-08-22,13:07:35,0:00:00.088514,1456,33
o_sources20011120055357a.csv,o_sources20011120043534a.csv,o_sources20011120050755a.csv,2023-08-22,13:09:18,0:00:00.088042,1456,33
