,filea,fileb,filec
258,20011120060353a,20011120051347a,20011120043742a
259,20011120024900c,20011120021723c,20011120014717c
264,20011120042026a,20011120035152a,20011120032222a
273,20011120030103b,20011120022927b,20011120015915b
280,20011120060751a,20011120052150a,20011120044140a
281,20011120055357c,20011120050755c,20011120043534c
306,20011120055357b,20011120050755b,20011120043534b
313,20011120050656c,20011120055255c,20011120043433c
316,20011120031308a,20011120021110a,20011120024241a
319,20011120055357a,20011120043534a,20011120050755a
323,20011120055255a,20011120050656a,20011120043433a
326,20011120024800a,20011120021624a,20011120014618a
329,20011120060353b,20011120051347b,20011120043742b
337,20011120031607a,20011120021407a,20011120024541a
358,20011120060956b,20011120052744b,20011120044442b
364,20011120061445b,20011120052842b,20011120044542b
391,20011120061545c,20011120052942c,20011120044642c
